customerID,targeting,revenue,satisfaction
1,Personalized Targeting,217.03,6
2,Personalized Targeting,181.27,7
3,Personalized Targeting,182.09,1
4,Segment-Based Targeting,180.97,10
5,Personalized Targeting,142.71,5
6,Segment-Based Targeting,115.86,0
7,Segment-Based Targeting,123.95,10
8,Segment-Based Targeting,163.75,9
9,Personalized Targeting,138.77,5
10,No Targeting,81.73,4
11,Segment-Based Targeting,211.26,9
12,Segment-Based Targeting,107.19,8
13,No Targeting,125.77,1
14,Segment-Based Targeting,136.22,2
15,Personalized Targeting,118.35,2
16,No Targeting,134.1,1
17,Personalized Targeting,188.81,9
18,Personalized Targeting,159.85,7
19,No Targeting,93.89,7
20,No Targeting,106.11,1
21,No Targeting,62.67,10
22,No Targeting,131.09,5
23,Personalized Targeting,146.13,6
24,Segment-Based Targeting,149.66,0
25,Personalized Targeting,151.48,6
26,Segment-Based Targeting,172.76,7
27,No Targeting,124.81,5
28,Segment-Based Targeting,221.25,10
29,Personalized Targeting,168.59,9
30,Segment-Based Targeting,139.02,0
31,No Targeting,90.31,6
32,Personalized Targeting,166.35,6
33,Personalized Targeting,130.84,2
34,No Targeting,136.48,0
35,Personalized Targeting,128.53,7
36,Segment-Based Targeting,153.47,9
37,No Targeting,108.42,10
38,Personalized Targeting,112.9,0
39,No Targeting,156.81,0
40,No Targeting,140,1
41,Segment-Based Targeting,105.45,1
42,Personalized Targeting,155.18,3
43,Personalized Targeting,130.81,10
44,No Targeting,101.69,9
45,Personalized Targeting,174.98,9
46,No Targeting,146.38,4
47,Personalized Targeting,187.69,8
48,Segment-Based Targeting,160.79,2
49,No Targeting,115.81,6
50,Segment-Based Targeting,40.68,6
51,No Targeting,136.15,1
52,No Targeting,146.77,1
53,Personalized Targeting,174.68,4
54,No Targeting,84.11,7
55,Segment-Based Targeting,153.88,3
56,No Targeting,149.15,3
57,No Targeting,75.84,6
58,Personalized Targeting,175.87,9
59,No Targeting,193.63,4
60,Segment-Based Targeting,90.52,1
61,No Targeting,143.87,1
62,Personalized Targeting,149.76,10
63,No Targeting,77.84,2
64,Personalized Targeting,132.31,5
65,Segment-Based Targeting,140.3,1
66,Personalized Targeting,147.73,9
67,Segment-Based Targeting,98.35,8
68,Segment-Based Targeting,132.06,2
69,Personalized Targeting,131.58,5
70,Segment-Based Targeting,162.19,2
71,Segment-Based Targeting,166.9,7
72,Personalized Targeting,149.62,0
73,Personalized Targeting,106.54,1
74,No Targeting,133.95,10
75,Segment-Based Targeting,81.47,4
76,Segment-Based Targeting,124.52,4
77,No Targeting,134.67,3
78,Segment-Based Targeting,167.06,10
79,No Targeting,139.21,6
80,No Targeting,148.54,2
81,Segment-Based Targeting,122.03,9
82,Personalized Targeting,120.08,6
83,Personalized Targeting,142.23,9
84,No Targeting,174.03,6
85,Segment-Based Targeting,171.66,1
86,No Targeting,111.24,1
87,Segment-Based Targeting,115.28,1
88,No Targeting,156.49,2
89,Personalized Targeting,166.59,7
90,Personalized Targeting,162.25,8
91,Segment-Based Targeting,75.79,0
92,Personalized Targeting,204.13,6
93,No Targeting,94.87,7
94,Segment-Based Targeting,151.87,0
95,Segment-Based Targeting,166.59,8
96,Personalized Targeting,196.03,2
97,Segment-Based Targeting,179.5,8
98,No Targeting,114.21,1
99,Personalized Targeting,176.52,10
100,Personalized Targeting,97.34,3
101,Personalized Targeting,159.25,7
102,Segment-Based Targeting,166.65,3
103,Segment-Based Targeting,129.88,10
104,Personalized Targeting,129.08,1
105,No Targeting,132.92,5
106,No Targeting,126.27,2
107,Personalized Targeting,113.55,6
108,Segment-Based Targeting,104.79,2
109,Segment-Based Targeting,175.36,6
110,Segment-Based Targeting,127.42,6
111,Segment-Based Targeting,84.42,6
112,Segment-Based Targeting,154.58,6
113,Segment-Based Targeting,125.84,7
114,Personalized Targeting,185.4,7
115,Segment-Based Targeting,167.77,0
116,No Targeting,110.38,4
117,Segment-Based Targeting,100.97,8
118,Segment-Based Targeting,213.79,0
119,Segment-Based Targeting,163.35,5
120,Personalized Targeting,180.7,8
121,Segment-Based Targeting,88.87,9
122,Personalized Targeting,193.16,9
123,Segment-Based Targeting,130.58,7
124,Personalized Targeting,149.6,7
125,No Targeting,151.15,6
126,Personalized Targeting,144.65,6
127,Personalized Targeting,190.44,0
128,Personalized Targeting,178.35,9
129,No Targeting,96.83,8
130,Personalized Targeting,180.43,7
131,Personalized Targeting,153.77,10
132,Segment-Based Targeting,165.12,2
133,Segment-Based Targeting,131.24,7
134,Segment-Based Targeting,149.62,5
135,Personalized Targeting,118.91,0
136,Personalized Targeting,168.74,3
137,Personalized Targeting,201.57,2
138,Segment-Based Targeting,145.07,4
139,No Targeting,152.07,6
140,Segment-Based Targeting,92.42,1
141,No Targeting,108.48,7
142,Personalized Targeting,185.95,7
143,Personalized Targeting,176.84,3
144,Segment-Based Targeting,96.8,7
145,No Targeting,89.82,9
146,Personalized Targeting,131.79,5
147,No Targeting,121.6,1
148,Personalized Targeting,142.78,0
149,Segment-Based Targeting,146.62,8
150,Segment-Based Targeting,114.96,2
151,No Targeting,116.09,4
152,Personalized Targeting,177.02,4
153,Segment-Based Targeting,176.25,8
154,No Targeting,123.82,3
155,Personalized Targeting,131.46,9
156,Personalized Targeting,140.12,2
157,Personalized Targeting,170.34,2
158,No Targeting,87.6,5
159,Segment-Based Targeting,146.29,9
160,Segment-Based Targeting,100.91,3
161,No Targeting,108.91,6
162,Segment-Based Targeting,120.71,8
163,Personalized Targeting,192.73,2
164,Personalized Targeting,170.1,5
165,No Targeting,110.56,4
166,Segment-Based Targeting,134.63,8
167,No Targeting,121.57,3
168,Segment-Based Targeting,158.33,2
169,Personalized Targeting,151.19,6
170,Personalized Targeting,79.61,3
171,No Targeting,82.86,4
172,Personalized Targeting,177.3,7
173,Segment-Based Targeting,174.08,6
174,No Targeting,140.82,7
175,No Targeting,128.6,5
176,Segment-Based Targeting,80.06,7
177,Personalized Targeting,194.49,10
178,No Targeting,163.08,6
179,Segment-Based Targeting,125.62,10
180,Segment-Based Targeting,208.67,0
181,No Targeting,28.87,5
182,Segment-Based Targeting,108.69,9
183,No Targeting,127.4,5
184,No Targeting,122.1,9
185,Segment-Based Targeting,95.49,3
186,No Targeting,168.95,8
187,Personalized Targeting,139.71,8
188,No Targeting,76.09,9
189,No Targeting,119.24,3
190,Segment-Based Targeting,176.54,4
191,No Targeting,95.15,10
192,Segment-Based Targeting,118.46,8
193,No Targeting,118.67,2
194,No Targeting,88.14,2
195,No Targeting,113.35,1
196,Personalized Targeting,171.84,6
197,Personalized Targeting,186.68,0
198,Segment-Based Targeting,166.06,2
199,No Targeting,99.84,6
200,Segment-Based Targeting,132.96,1
201,Personalized Targeting,186.18,8
202,Segment-Based Targeting,167.4,4
203,Personalized Targeting,171.92,0
204,Segment-Based Targeting,137.09,9
205,Personalized Targeting,97.6,8
206,No Targeting,161.22,8
207,No Targeting,123.2,6
208,No Targeting,119.2,1
209,No Targeting,112.99,7
210,Personalized Targeting,142.57,6
211,Segment-Based Targeting,120.63,5
212,No Targeting,109.71,6
213,Segment-Based Targeting,89.76,9
214,No Targeting,175.84,1
215,Personalized Targeting,158.33,1
216,Personalized Targeting,173,4
217,No Targeting,135.31,6
218,Segment-Based Targeting,175.88,9
219,Personalized Targeting,127.48,10
220,No Targeting,85.65,8
221,Personalized Targeting,164.66,6
222,Segment-Based Targeting,125.23,5
223,No Targeting,191.01,3
224,No Targeting,76.99,2
225,No Targeting,71.66,10
226,No Targeting,138.74,2
227,No Targeting,142.35,9
228,Personalized Targeting,177.56,1
229,Segment-Based Targeting,145.45,2
230,Segment-Based Targeting,152.15,0
231,Segment-Based Targeting,101.08,0
232,Personalized Targeting,178.96,0
233,No Targeting,84.74,3
234,Segment-Based Targeting,120.95,2
235,Segment-Based Targeting,69.25,1
236,No Targeting,86.21,6
237,Segment-Based Targeting,158.06,1
238,No Targeting,137.05,1
239,No Targeting,115.17,6
240,Segment-Based Targeting,104.78,9
241,Personalized Targeting,196.64,3
242,No Targeting,68.28,3
243,Personalized Targeting,157.64,7
244,No Targeting,101.69,8
245,Segment-Based Targeting,103.87,2
246,No Targeting,123.62,8
247,Segment-Based Targeting,111.35,10
248,Segment-Based Targeting,142.06,2
249,Segment-Based Targeting,153.49,10
250,Personalized Targeting,175.15,5
251,No Targeting,130.1,4
252,No Targeting,162.37,1
253,No Targeting,88.73,5
254,No Targeting,167.31,0
255,Personalized Targeting,144.07,4
256,No Targeting,97.13,2
257,Segment-Based Targeting,160.87,2
258,No Targeting,123.51,2
259,Segment-Based Targeting,161.11,10
260,Segment-Based Targeting,130.91,5
261,No Targeting,145.02,8
262,No Targeting,123.21,10
263,No Targeting,126.33,2
264,No Targeting,120.85,1
265,Personalized Targeting,199.03,4
266,No Targeting,76.04,4
267,No Targeting,71.28,6
268,No Targeting,125.77,1
269,Segment-Based Targeting,192.34,7
270,Segment-Based Targeting,142.36,6
271,Personalized Targeting,145.93,6
272,Segment-Based Targeting,88.14,7
273,Personalized Targeting,191.95,4
274,No Targeting,134.41,1
275,No Targeting,124.12,2
276,No Targeting,143.67,8
277,No Targeting,95.19,2
278,No Targeting,127.32,2
279,Personalized Targeting,130,4
280,No Targeting,154.24,6
281,No Targeting,60.51,7
282,Personalized Targeting,159.26,9
283,Personalized Targeting,153.76,3
284,Segment-Based Targeting,110.39,2
285,No Targeting,107.77,6
286,No Targeting,104.62,7
287,No Targeting,89.65,0
288,Segment-Based Targeting,88.81,6
289,No Targeting,173.46,8
290,Segment-Based Targeting,93.67,2
291,No Targeting,114.4,9
292,No Targeting,116.2,5
293,Personalized Targeting,127.59,3
294,Personalized Targeting,165.25,8
295,Segment-Based Targeting,104.27,4
296,Segment-Based Targeting,138.37,8
297,No Targeting,69.46,8
298,Personalized Targeting,141.56,4
299,No Targeting,131.01,5
300,No Targeting,46.28,5
